island,year,source_table,area,area_type,area_pop_total,sex,age_band,count,data_type,notes
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,65-69,165,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,70-74,174,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,75-79,111,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,80-84,61,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Male,85+,59,published_exact,Part I Table 2.2
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,0-4,132,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,5-9,163,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,10-14,189,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,15-19,128,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,20-24,139,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,25-29,146,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,30-34,194,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,35-39,208,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,40-44,196,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,45-49,195,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,50-54,218,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,55-59,190,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,60-64,172,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,65-69,153,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,70-74,180,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,75-79,129,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,80-84,74,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Peel,Town,5710,Female,85+,102,published_exact,Part I Table 2.3
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,0-4,133,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,5-9,197,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,10-14,205,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,15-19,188,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,20-24,132,published_exact,Part I Table 2.1
IOM,2021,Table2.1-2.3,Castletown,Town,3206,All,25-29,157,published_exact,Part I Table 2.1
