# Crown Dependencies & England/Wales — Suicide Mortality Data
# Compiled by Coalfinch from public sources. See source column for each row.
# Samaritans helpline: 116 123 (free, 24/7) | www.samaritans.org
# IoM: Lifeline 0808 808 8000 | GY: Samaritans 116 123 | JE: Samaritans 116 123
#
# NOTES ON METHODOLOGY
# E&W: ONS annual registrations. ASMR = 2013 European Standard Population, ages 10+.
#   Standard of proof changed 26 July 2018 (criminal→civil). Series not directly comparable across this break.
# IoM: IOM Public Health Directorate. Annual counts = year of registration, ICD-10 X60-X84 + Y10-Y34.
#   Population ~85,000 throughout. ASMR = 3yr rolling, 2013 ESP, from IOM Mortality Report 2022 Fig 29 + FOI.
# Guernsey: Public Health Intelligence Unit. Annual data only available as 3-year averages (small numbers).
#   Population ~63,000–64,000. ASMR = 3yr rolling, 2013 ESP, from Mortality Trends 2021 & 2024.
#   Definition: ICD-10 X60-X84 + Y10-Y34 (suicide + undetermined intent). Includes Alderney.
# Jersey: Health and Care Jersey / Statistics Jersey. Annual counts from Jersey Mortality Statistics reports.
#   Population ~103,000–107,000. ASMR = 3yr rolling, 2013 ESP, from Jersey Mortality Statistics 2020 & 2024.
#   Definition: intentional self-harm + undetermined intent (consistent with ONS).
#
# SERIES TYPES
# count_annual = confirmed annual registration count (deaths)
# count_3yr_avg = 3-year rolling average annual count (used where annual figures not published due to small numbers)
# rate_crude = count / population * 100,000 (calculated, not published)
# rate_asmr_3yr = 3-year rolling age-standardised mortality rate per 100,000, 2013 ESP (published)
# rate_asmr_annual = single-year ASMR per 100,000, 2013 ESP (published for E&W only)
#
jurisdiction,year,series_type,value,value_notes,source,source_url
#
# ── ENGLAND & WALES ──────────────────────────────────────────────────────────────
# CONFIRMED values from FOI / report text; others read from Figure 29 (±1-2 units)
Isle of Man,2007,rate_asmr_3yr,10.0,Window 2006-08 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2008,rate_asmr_3yr,14.0,Window 2007-09 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2009,rate_asmr_3yr,13.0,Window 2008-10 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2010,rate_asmr_3yr,12.0,Window 2009-11 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2011,rate_asmr_3yr,12.0,Window 2010-12 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2012,rate_asmr_3yr,10.0,Window 2011-13 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2013,rate_asmr_3yr,12.0,Window 2012-14 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2014,rate_asmr_3yr,10.0,Window 2013-15 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2015,rate_asmr_3yr,7.8,Window 2014-16 — CONFIRMED FOI ref 1228481 (DHSC),IOM Cabinet Office FOI 1228481 (2020),https://www.gov.im/
Isle of Man,2016,rate_asmr_3yr,10.2,Window 2015-17 — CONFIRMED FOI ref 1228481 (DHSC),IOM Cabinet Office FOI 1228481 (2020),https://www.gov.im/
Isle of Man,2017,rate_asmr_3yr,10.7,Window 2016-18 — CONFIRMED FOI ref 1228481 (DHSC),IOM Cabinet Office FOI 1228481 (2020),https://www.gov.im/
Isle of Man,2018,rate_asmr_3yr,10.0,Window 2017-19 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2019,rate_asmr_3yr,18.0,Window 2018-20 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2020,rate_asmr_3yr,17.0,Window 2019-21 — read from Fig 29 ±1-2 units,IOM Mortality Report 2022 Figure 29,https://www.gov.im/
Isle of Man,2021,rate_asmr_3yr,17.8,Window 2020-22 — CONFIRMED IOM Mortality Report 2022 text,IOM Mortality Report 2022 (GD 2024/0073),https://www.gov.im/
#
# ── GUERNSEY ─────────────────────────────────────────────────────────────────────
# Annual counts NOT published due to small numbers. Data published as 3-year averages only.
# Total 2002-2021 = 104 deaths. Total 2005-2024 = 112 deaths.
# 2021 peak = 11 deaths (highest in 20 years). 2024 = 6 confirmed (max 10 if all open inquests = suicide).
# Population ~63,000-64,000 throughout. Includes Alderney.
# Source: Guernsey Mortality Trends 2021 (Fig 49) and Mortality Trends 2024 (Fig 50) — bar charts read visually.
Guernsey,2005,count_3yr_avg,3.0,Window 2004-06 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50 (Public Health Intelligence Unit),https://www.gov.gg/publichealthinfo
Guernsey,2006,count_3yr_avg,2.0,Window 2005-07 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2007,count_3yr_avg,3.0,Window 2006-08 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
Guernsey,2008,count_3yr_avg,3.0,Window 2007-09 — read from Fig 50 Mortality Trends 2024,Guernsey Mortality Trends 2024 Figure 50,https://www.gov.gg/publichealthinfo
