year_ended,section,line,amount_gbp
2024,Admin,Telephone,5829
2024,Admin,Staff training,0
2024,Admin,Miscellaneous,8503
2024,Admin,Registrars costs,0
2024,Admin,Rate collection costs,17784
2024,Admin,Rates provision for bad debts,3028
2024,Admin,Other bad debt provisions,-8125
2024,Admin,Admin allowance (credit),-114689
2024,Admin,Search fees (credit),-9700
2024,Admin,Hire of Boardroom (credit),-400
2024,Admin,Registrars fees (credit),-3858
2024,Admin,Other income (credit),-250
2024,Admin,Miscellaneous income (credit),-1502
2024,Compliance,Audit fees,12036
2024,Compliance,Accountancy fees,11230
2024,Compliance,Legal and professional fees,7092
2024,Compliance,Insurance,34242
2024,Housing,Repairs and maintenance,436914
2024,Housing,Supervision and management,114689
2024,Housing,"Rents, rates, taxes and other charges",370698
2024,Housing,Depreciation and impairment charges (housing),717090
2024,CapitalDebt,Depreciation (General Fund),138411
2024,CapitalDebt,Net current service cost of pensions,-10000
2024,CapitalDebt,Interest payable and finance charges,623323
2024,CapitalDebt,Net pension interest cost,6000
2024,Summary,Surplus for the year (Surplus on provision of services),524009
2024,Summary,General rate poundage (pence),267
2024,Summary,Net rateable value,421378
2024,Summary,Refuse fixed charge per household,223
